"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ID","Gender","Nonacceptance_1","Nonacceptance_2","Nonacceptance_3","Nonacceptance_4","Nonacceptance_5","Nonacceptance_6","Nonacceptance_7","Nonacceptance_8","Nonacceptance_9","Nonacceptance_10","Nonacceptance_11","Nonacceptance_12","Nonacceptance_13","Nonacceptance_14","Nonacceptance_15","Nonacceptance_16","Nonacceptance_17","Nonacceptance_18","Nonacceptance_19","EmpathicConcern_1","EmpathicConcern_2","EmpathicConcern_3","EmpathicConcern_4","EmpathicConcern_5","EmpathicConcern_6","EmpathicConcern_7","EmpathicConcern_8","EmpathicConcern_9","EmpathicConcern_10","EmpathicConcern_11","EmpathicConcern_12","EmpathicConcern_13","EmpathicConcern_14","EmpathicConcern_15","EmpathicConcern_16","id","DERS_NA","DERS_A","IRI_PT","IRI_FC","IRI_EC","IRI_PD","IRI_Total","EmpathicConcern_3_R","EmpathicConcern_4_R","EmpathicConcern_7_R","EmpathicConcern_12_R","EmpathicConcern_13_R","EmpathicConcern_15_R"
"6/24/2023 15:31","6/24/2023 15:33","0","147.235.192.158","100","117","1","6/24/2023 15:33","R_p42vG9bPqSSMbG9",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","3983","2",2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,4,5,1,1,4,2,1,5,4,2,5,1,3,3,2,4,"3119",2.1666666666666665,3.8333333333333335,4.75,4.4,4.25,2.3333333333333335,3.9333333333333336,5,5,5,5,3,4
"6/24/2023 15:50","6/24/2023 15:53","0","147.235.198.111","100","160","1","6/24/2023 15:53","R_5bSKud65Xn2kv8R",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","2654","1",4,5,5,2,3,2,3,3,4,5,3,4,3,3,3,4,4,4,4,5,4,2,1,4,3,1,3,3,4,4,2,2,4,2,4,"3119",3.5,2.5,3.75,4.4,4,3.6666666666666665,3.9541666666666666,4,5,5,4,4,4
"6/24/2023 16:52","6/24/2023 16:55","0","109.253.185.222","100","200","1","6/24/2023 16:55","R_enBHsyxCe1aNrvr",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","5695","1",2,2,3,3,2,1,2,1,2,1,4,5,3,1,3,3,3,3,2,2,5,2,2,2,2,1,4,5,5,3,2,1,4,1,1,"3119",3.5,2.5,4,2.8,4.5,4,3.825,4,4,5,4,5,5
"6/24/2023 22:52","6/24/2023 22:55","0","147.235.202.60","100","181","1","6/24/2023 22:55","R_2VydiM9537ni3IT",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","773","1",1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2,4,1,2,5,2,1,4,5,1,3,1,1,4,3,4,"3119",1.6666666666666667,4.333333333333333,3.75,4.2,4.25,2.6666666666666665,3.7166666666666663,5,4,5,5,5,3
"6/24/2023 23:58","6/25/2023 0:02","0","147.236.231.10","100","246","1","6/25/2023 0:02","R_3HZDTEQ08uXcg28",NA,NA,NA,NA,NA,NA,"anonymous","HE","4401","1",2,3,2,3,4,2,3,3,5,3,2,4,2,3,3,4,4,5,4,3,4,1,3,5,5,3,4,5,3,3,2,2,3,3,3,"3119",2.8333333333333335,3.1666666666666665,3.75,3.6,3.75,4,3.775,5,3,3,4,4,3
"6/25/2023 2:34","6/25/2023 2:39","0","95.86.76.113","100","298","1","6/25/2023 2:39","R_wYOlfyeKuPKwRrz",NA,NA,NA,NA,"31.7674","35.2186","anonymous","HE","2583","2",2,3,2,3,5,2,2,1,4,2,1,3,2,3,2,3,2,5,3,4,5,2,1,3,4,2,4,5,3,4,3,1,5,2,2,"3119",2.3333333333333335,3.6666666666666665,4,3.2,5,4,4.05,4,5,4,3,5,4
"6/25/2023 7:05","6/25/2023 7:08","0","147.235.198.96","100","177","1","6/25/2023 7:08","R_UcJLW5VDPXxbCq5",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","9345","2",3,2,2,2,2,1,2,1,3,1,1,1,1,2,2,2,1,2,2,4,4,3,3,4,3,2,4,4,3,3,1,2,3,1,3,"3119",1.5,4.5,3.75,4,3.5,3.3333333333333335,3.6458333333333335,3,3,4,5,4,5
"6/25/2023 8:12","6/25/2023 8:15","0","2.54.190.18","100","164","1","6/25/2023 8:15","R_1nVkykW14tYsAln",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","2460","2",1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,4,1,1,3,1,3,4,4,1,4,2,4,2,1,3,"3119",1,5,4.5,2.8,3.75,1.3333333333333333,3.0958333333333337,5,5,3,4,2,5
"6/25/2023 10:03","6/25/2023 10:05","0","85.65.112.167","100","158","1","6/25/2023 10:05","R_3Ph5aU80U0no7Az",NA,NA,NA,NA,"31.8964","35.0162","anonymous","HE","2567","1",1,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,3,2,2,5,1,5,3,2,2,3,4,1,4,2,1,4,1,3,"3119",1.3333333333333333,4.666666666666667,4.25,3.2,3.5,2.6666666666666665,3.4041666666666663,5,1,4,4,5,5
"6/25/2023 11:33","6/25/2023 11:35","0","109.253.179.14","100","128","1","6/25/2023 11:35","R_b1rol7kcp5MpfPj",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","1880","1",2,4,3,1,3,3,2,2,4,3,3,2,2,4,2,3,4,4,2,3,3,1,2,2,3,3,4,3,2,5,4,1,3,2,1,"3119",2.3333333333333335,3.6666666666666665,4.5,2.2,3.25,3.3333333333333335,3.3208333333333333,5,4,3,2,5,4
"6/26/2023 0:15","6/26/2023 0:19","0","109.186.28.180","100","270","1","6/26/2023 0:19","R_1HiaUr9Yd2cxFFY",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","7175","1",2,2,3,3,2,1,1,1,3,1,1,2,3,1,1,3,1,2,3,2,4,3,2,3,5,2,4,4,2,4,3,1,3,2,3,"3119",2.5,3.5,3.75,3,3.75,4,3.625,3,4,4,3,5,4
"6/26/2023 12:00","6/26/2023 12:03","0","77.125.228.199","100","177","1","6/26/2023 12:03","R_1q2qjZIRKQoZCVw",NA,NA,NA,NA,"32.0123","34.7705","anonymous","HE","8342","1",1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,4,3,2,2,4,3,2,4,4,3,2,1,3,2,1,4,"3119",1.8333333333333333,4.166666666666667,3.75,4.2,3.25,3,3.55,4,4,4,5,3,5
"6/26/2023 15:19","6/26/2023 15:22","0","81.218.151.107","100","163","1","6/26/2023 15:22","R_essVgCHJFlQnLcR",NA,NA,NA,NA,"32.0243","34.8172","anonymous","HE","353","1",1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,4,2,1,1,4,3,1,3,5,2,1,2,1,"3119",1.3333333333333333,4.666666666666667,3.75,2,2,2,2.4375,4,2,5,1,4,4
"6/24/2023 15:15","6/29/2023 12:53","0","188.64.207.204","100","423451","1","6/29/2023 12:53","R_3iOTV3xlsSkbjoJ",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","7225","2",1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,2,1,2,2,1,3,3,4,3,4,3,4,3,2,3,2,2,2,3,2,"3119",1.3333333333333333,4.666666666666667,3.25,2.6,2.5,3.3333333333333335,2.9208333333333334,3,2,3,4,4,3
