"StartDate","EndDate","Status...3","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Consent","ID","Gender","Nonacceptance_1","Nonacceptance_2","Nonacceptance_3","Nonacceptance_4","Nonacceptance_5","Nonacceptance_6","Nonacceptance_7","Nonacceptance_8","Nonacceptance_9","Nonacceptance_10","Nonacceptance_11","Nonacceptance_12","Nonacceptance_13","Nonacceptance_14","Nonacceptance_15","Nonacceptance_16","Nonacceptance_17","Nonacceptance_18","Nonacceptance_19","EmpathicConcern_1","EmpathicConcern_2","EmpathicConcern_3","EmpathicConcern_4","EmpathicConcern_5","EmpathicConcern_6","EmpathicConcern_7","EmpathicConcern_8","EmpathicConcern_9","EmpathicConcern_10","EmpathicConcern_11","EmpathicConcern_12","EmpathicConcern_13","EmpathicConcern_14","EmpathicConcern_15","EmpathicConcern_16","Age","Status...57","Status_5_TEXT","Religion","Religion_5_TEXT","Language","Language_4_TEXT","id","DERSNA","DERS_A","IRI_PT","IRI_FC","IRI_EC","IRI_PD","IRI_Total"
"6/7/2023 3:26","6/7/2023 9:23","0","147.235.220.47","100","21412","1","6/7/2023 9:23","R_2wEoqCm402Pfyc1",NA,NA,NA,NA,"31.9642","34.7876","anonymous","HE","1","4401","1",3,2,2,2,3,2,2,3,5,3,2,3,2,3,1,2,2,4,5,4,5,3,3,4,4,3,3,4,3,4,3,1,3,3,3,"26","6",NA,"5","דתיה לשעבר","1",NA,"4356",13,23,13,17,15,12,57
"6/7/2023 23:23","6/7/2023 23:32","0","132.70.66.9","100","534","1","6/7/2023 23:32","R_2ScovAUURtexFVE",NA,NA,NA,NA,"32.0759","34.8215","anonymous","HE","1","1880","1",2,3,4,4,4,2,2,2,4,4,3,3,4,3,3,4,3,4,3,4,3,1,5,2,3,4,5,3,4,4,4,2,4,2,2,"21","6",NA,"3",NA,"1",NA,"4380",22,14,18,12,15,11,56
"6/7/2023 23:35","6/7/2023 23:39","0","132.70.66.14","100","208","1","6/7/2023 23:39","R_1P5FyA34mCNPVsl",NA,NA,NA,NA,"32.0759","34.8215","anonymous","HE","1","3983","2",2,3,3,3,4,2,4,3,3,3,3,3,4,1,3,3,3,3,3,4,5,1,5,4,1,2,5,4,2,5,1,3,4,2,2,"26","5","באמצע הליך גירושין","3",NA,"3",NA,"4395",19,17,19,19,18,6,62
"6/8/2023 1:19","6/8/2023 1:22","0","109.186.51.130","100","216","1","6/8/2023 1:22","R_2ckFhl0qAeFDDTF",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","1","1161","1",1,1,1,1,3,2,2,1,3,2,1,2,1,2,2,1,1,3,3,3,3,3,4,2,2,2,3,3,2,3,2,3,2,3,2,"24","6",NA,"2",NA,"1",NA,"4555",7,29,12,15,12,7,46
"6/8/2023 11:42","6/8/2023 11:46","0","109.253.214.6","100","270","1","6/8/2023 11:46","R_2Uc3A2ULwWjAbdd",NA,NA,NA,NA,"32.0123","34.7705","anonymous","HE","1","5695","1",2,2,3,3,2,1,2,1,2,1,4,2,3,1,2,3,3,2,2,3,5,3,5,4,3,2,3,5,5,4,2,2,5,1,3,"22","5","מתחתנת עוד כמה חודשים","3",NA,"1",NA,"4519",18,18,15,18,20,12,65
"6/8/2023 15:02","6/8/2023 15:07","0","82.81.58.96","100","281","1","6/8/2023 15:07","R_1kLdoQ4MxSsdly5",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","1","2654","1",2,2,4,3,4,1,2,3,3,1,3,3,3,1,2,3,4,4,3,5,5,2,5,5,4,1,2,5,5,5,1,2,5,3,5,"21","1",NA,"3",NA,"1",NA,"4359",19,17,14,25,20,13,72
"6/8/2023 15:14","6/8/2023 15:23","0","104.28.60.70","100","495","1","6/8/2023 15:23","R_3eNxhTYV0rbgpbz",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","1","1441","1",2,2,2,2,4,1,1,2,3,1,1,3,2,2,1,2,4,4,3,2,3,1,3,1,3,2,3,2,4,4,2,1,3,1,2,"22","2",NA,"3",NA,"1",NA,"4587",12,24,17,13,11,12,53
"6/10/2023 5:19","6/10/2023 5:25","0","77.137.77.132","100","316","1","6/10/2023 5:25","R_xGyxr4Yjtk3yG65",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","1","7225","2",1,1,2,1,2,1,2,1,3,1,1,2,1,1,2,1,1,3,2,1,4,2,2,2,4,2,5,3,2,2,3,3,1,2,1,"23","1",NA,"2",NA,"1",NA,"4329",8,28,15,11,10,9,45
"6/10/2023 14:50","6/10/2023 14:54","0","95.86.95.14","100","221","1","6/10/2023 14:54","R_1f739C15wW5vZJ3",NA,NA,NA,NA,"31.7674","35.2186","anonymous","HE","1","2823","1",2,2,3,2,2,2,1,2,3,1,1,2,1,2,1,1,2,3,2,3,5,2,4,4,3,3,3,4,4,4,3,2,3,2,3,"22","1",NA,"3",NA,"1",NA,"4551",10,26,15,16,16,11,58
"6/11/2023 5:18","6/11/2023 5:23","0","132.70.66.11","100","322","1","6/11/2023 5:23","R_24MHuU40vUnYHKb",NA,NA,NA,NA,"32.0759","34.8215","anonymous","HE","1","7302","1",1,2,2,1,2,1,1,2,4,1,1,1,2,1,1,2,2,2,2,4,4,2,3,3,2,2,4,4,1,4,1,2,4,2,2,"21","1",NA,"3",NA,"4","אנגלית ועברית","4313",9,27,16,18,15,7,56
"6/11/2023 10:23","6/11/2023 10:28","0","5.29.19.0","100","282","1","6/11/2023 10:28","R_8AF9t7k3A33aQ2R",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","1","2460","2",1,2,1,1,3,1,1,1,3,2,1,1,2,2,1,1,1,2,3,1,5,1,3,3,2,2,5,3,1,4,2,4,3,1,2,"25","1",NA,"1",NA,"1",NA,"4547",7,29,19,14,14,5,52
"6/15/2023 11:51","6/15/2023 11:59","0","77.125.228.199","100","440","1","6/15/2023 11:59","R_2mhqxcLmOB4p4pb",NA,NA,NA,NA,"32.0123","34.7705","anonymous","HE","1","8342","1",2,2,2,4,2,2,3,4,2,2,3,1,2,1,2,2,2,1,2,3,3,2,3,5,3,3,3,3,2,3,1,2,3,3,5,"21","1",NA,"1",NA,"1",NA,"3119",14,22,13,21,12,9,55
"6/15/2023 12:25","6/15/2023 12:33","0","85.64.150.128","100","490","1","6/15/2023 12:33","R_1kIkmLoP94VPQvB",NA,NA,NA,NA,"32.0803","34.7805","anonymous","HE","1","7175","1",2,2,2,2,2,1,1,1,4,2,2,2,1,2,1,3,2,3,4,3,4,2,3,5,5,2,4,4,4,4,2,2,3,4,2,"21","1",NA,"3",NA,"1",NA,"3119",12,24,14,18,14,13,59
"6/18/2023 5:54","6/18/2023 5:58","0","85.65.112.167","100","245","1","6/18/2023 5:58","R_eE9HuiDgm0xaEvv",NA,NA,NA,NA,"31.8964","35.0162","anonymous","HE","1","2567","1",2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,2,1,4,1,4,3,2,2,3,4,1,5,1,1,3,1,3,"22","1",NA,"3",NA,"1",NA,"4344",6,30,18,16,15,8,57
